index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
0,  0.1, 10, 64, 5, 10, min-max norm  ,0.5572315882874889
1,  0.1, 10, 64, 5, 10, z-score norm  ,0.611357586512866
2,  0.1, 10, 64, 10, 10, min-max norm  ,0.9086069210292813
3,  0.1, 10, 64, 10, 10, z-score norm  ,0.9112688553682342
4,  0.1, 10, 64, 50, 10, min-max norm  ,0.9006211180124224
5,  0.1, 10, 64, 50, 10, z-score norm  ,0.9423247559893523
6,  0.1, 10, 64, 100, 10, min-max norm  ,0.5199645075421473
7,  0.1, 10, 64, 100, 10, z-score norm  ,0.9600709849157054
8,  0.1, 10, 128, 5, 10, min-max norm  ,0.5430346051464063
9,  0.1, 10, 128, 5, 10, z-score norm  ,0.6645962732919255
10,  0.1, 10, 128, 10, 10, min-max norm  ,0.9006211180124224
11,  0.1, 10, 128, 10, 10, z-score norm  ,0.9157054125998225
12,  0.1, 10, 128, 50, 10, min-max norm  ,0.7586512866015972
13,  0.1, 10, 128, 50, 10, z-score norm  ,0.9440993788819876
14,  0.1, 10, 128, 100, 10, min-max norm  ,0.5199645075421473
15,  0.1, 10, 128, 100, 10, z-score norm  ,0.9609582963620231
16,  0.1, 10, 256, 5, 10, min-max norm  ,0.5270629991126885
17,  0.1, 10, 256, 5, 10, z-score norm  ,0.6433007985803016
18,  0.1, 10, 256, 10, 10, min-max norm  ,0.84472049689441
19,  0.1, 10, 256, 10, 10, z-score norm  ,0.9174800354924578
20,  0.1, 10, 256, 50, 10, min-max norm  ,0.7054125998225377
21,  0.1, 10, 256, 50, 10, z-score norm  ,0.9574090505767524
22,  0.1, 10, 256, 100, 10, min-max norm  ,0.5261756876663709
23,  0.1, 10, 256, 100, 10, z-score norm  ,0.9680567879325643
24,  0.1, 10, 500, 5, 10, min-max norm  ,0.5075421472937001
25,  0.1, 10, 500, 5, 10, z-score norm  ,0.6308784383318545
26,  0.1, 10, 500, 10, 10, min-max norm  ,0.7471162377994676
27,  0.1, 10, 500, 10, 10, z-score norm  ,0.9077196095829636
28,  0.1, 10, 500, 50, 10, min-max norm  ,0.5874001774622892
29,  0.1, 10, 500, 50, 10, z-score norm  ,0.9432120674356699
30,  0.1, 10, 500, 100, 10, min-max norm  ,0.5173025732031943
31,  0.1, 10, 500, 100, 10, z-score norm  ,0.9565217391304348
32,  0.1, 50, 64, 5, 10, min-max norm  ,0.6228926353149956
33,  0.1, 50, 64, 5, 10, z-score norm  ,0.6149068322981367
34,  0.1, 50, 64, 10, 10, min-max norm  ,0.9201419698314108
35,  0.1, 50, 64, 10, 10, z-score norm  ,0.9121561668145519
