index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
0,  0.1, 10, 64, 5, 10, min-max norm  ,0.5461666666666667
1,  0.1, 10, 64, 5, 10, z-score norm  ,0.6628333333333334
2,  0.1, 10, 64, 10, 10, min-max norm  ,0.6631666666666667
3,  0.1, 10, 64, 10, 10, z-score norm  ,0.7883333333333333
4,  0.1, 10, 64, 50, 10, min-max norm  ,0.447
5,  0.1, 10, 64, 50, 10, z-score norm  ,0.8896666666666667
6,  0.1, 10, 64, 100, 10, min-max norm  ,0.38133333333333336
7,  0.1, 10, 64, 100, 10, z-score norm  ,0.9058333333333334
8,  0.1, 10, 128, 5, 10, min-max norm  ,0.5055
9,  0.1, 10, 128, 5, 10, z-score norm  ,0.6586666666666666
10,  0.1, 10, 128, 10, 10, min-max norm  ,0.6203333333333333
11,  0.1, 10, 128, 10, 10, z-score norm  ,0.7925
12,  0.1, 10, 128, 50, 10, min-max norm  ,0.4036666666666667
13,  0.1, 10, 128, 50, 10, z-score norm  ,0.8948333333333334
14,  0.1, 10, 128, 100, 10, min-max norm  ,0.1835
15,  0.1, 10, 128, 100, 10, z-score norm  ,0.9085
16,  0.1, 10, 256, 5, 10, min-max norm  ,0.44916666666666666
17,  0.1, 10, 256, 5, 10, z-score norm  ,0.6528333333333334
18,  0.1, 10, 256, 10, 10, min-max norm  ,0.569
19,  0.1, 10, 256, 10, 10, z-score norm  ,0.79
20,  0.1, 10, 256, 50, 10, min-max norm  ,0.12
21,  0.1, 10, 256, 50, 10, z-score norm  ,0.9
22,  0.1, 10, 256, 100, 10, min-max norm  ,0.1085
23,  0.1, 10, 256, 100, 10, z-score norm  ,0.904
24,  0.1, 10, 500, 5, 10, min-max norm  ,0.43816666666666665
25,  0.1, 10, 500, 5, 10, z-score norm  ,0.651
26,  0.1, 10, 500, 10, 10, min-max norm  ,0.5251666666666667
27,  0.1, 10, 500, 10, 10, z-score norm  ,0.7831666666666667
28,  0.1, 10, 500, 50, 10, min-max norm  ,0.11666666666666667
29,  0.1, 10, 500, 50, 10, z-score norm  ,0.891
30,  0.1, 10, 500, 100, 10, min-max norm  ,0.11
31,  0.1, 10, 500, 100, 10, z-score norm  ,0.8995
32,  0.1, 50, 64, 5, 10, min-max norm  ,0.6358333333333334
33,  0.1, 50, 64, 5, 10, z-score norm  ,0.6608333333333334
34,  0.1, 50, 64, 10, 10, min-max norm  ,0.7445
35,  0.1, 50, 64, 10, 10, z-score norm  ,0.7925
36,  0.1, 50, 64, 50, 10, min-max norm  ,0.6731666666666667
37,  0.1, 50, 64, 50, 10, z-score norm  ,0.8998333333333334
38,  0.1, 50, 64, 100, 10, min-max norm  ,0.5771666666666667
39,  0.1, 50, 64, 100, 10, z-score norm  ,0.9098333333333334
40,  0.1, 50, 128, 5, 10, min-max norm  ,0.6106666666666667
41,  0.1, 50, 128, 5, 10, z-score norm  ,0.6516666666666666
42,  0.1, 50, 128, 10, 10, min-max norm  ,0.7316666666666667
43,  0.1, 50, 128, 10, 10, z-score norm  ,0.7813333333333333
44,  0.1, 50, 128, 50, 10, min-max norm  ,0.6548333333333334
45,  0.1, 50, 128, 50, 10, z-score norm  ,0.9023333333333333
