index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
0,  0.1, 10, 64, 5, 10, min-max norm  ,0.9541734860883797
1,  0.1, 10, 64, 5, 10, z-score norm  ,0.9541734860883797
2,  0.1, 10, 64, 10, 10, min-max norm  ,0.9631751227495908
3,  0.1, 10, 64, 10, 10, z-score norm  ,0.9713584288052373
4,  0.1, 10, 64, 50, 10, min-max norm  ,0.67430441898527
5,  0.1, 10, 64, 50, 10, z-score norm  ,0.9828150572831423
6,  0.1, 10, 64, 100, 10, min-max norm  ,0.5720130932896891
7,  0.1, 10, 64, 100, 10, z-score norm  ,0.9877250409165302
8,  0.1, 10, 128, 5, 10, min-max norm  ,0.955810147299509
9,  0.1, 10, 128, 5, 10, z-score norm  ,0.9566284779050737
10,  0.1, 10, 128, 10, 10, min-max norm  ,0.972176759410802
11,  0.1, 10, 128, 10, 10, z-score norm  ,0.9525368248772504
12,  0.1, 10, 128, 50, 10, min-max norm  ,0.82569558101473
13,  0.1, 10, 128, 50, 10, z-score norm  ,0.9819967266775778
14,  0.1, 10, 128, 100, 10, min-max norm  ,0.5090016366612111
15,  0.1, 10, 128, 100, 10, z-score norm  ,0.9811783960720131
16,  0.1, 10, 256, 5, 10, min-max norm  ,0.9607201309328969
17,  0.1, 10, 256, 5, 10, z-score norm  ,0.9648117839607201
18,  0.1, 10, 256, 10, 10, min-max norm  ,0.953355155482815
19,  0.1, 10, 256, 10, 10, z-score norm  ,0.9623567921440261
20,  0.1, 10, 256, 50, 10, min-max norm  ,0.5343698854337152
21,  0.1, 10, 256, 50, 10, z-score norm  ,0.9803600654664485
22,  0.1, 10, 256, 100, 10, min-max norm  ,0.49918166939443537
23,  0.1, 10, 256, 100, 10, z-score norm  ,0.9811783960720131
24,  0.1, 10, 500, 5, 10, min-max norm  ,0.9476268412438625
25,  0.1, 10, 500, 5, 10, z-score norm  ,0.9648117839607201
26,  0.1, 10, 500, 10, 10, min-max norm  ,0.8469721767594108
27,  0.1, 10, 500, 10, 10, z-score norm  ,0.9631751227495908
28,  0.1, 10, 500, 50, 10, min-max norm  ,0.49918166939443537
29,  0.1, 10, 500, 50, 10, z-score norm  ,0.9828150572831423
30,  0.1, 10, 500, 100, 10, min-max norm  ,0.49263502454991814
31,  0.1, 10, 500, 100, 10, z-score norm  ,0.9877250409165302
32,  0.1, 50, 64, 5, 10, min-max norm  ,0.955810147299509
